step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
180,-3.63847,20.946,0.0707812,0.0808809,0.602023,0.575722
181,-3.39243,20.792,0.0706611,0.0809437,0.601283,0.574349
182,-3.17136,20.6737,0.0705463,0.0810243,0.600542,0.573035
183,-2.90183,20.5576,0.0707198,0.0811683,0.600413,0.571938
184,-2.61576,20.4406,0.0716162,0.0814055,0.601275,0.571139
185,-2.47225,20.2971,0.0718073,0.0815686,0.600829,0.57043
186,-2.23167,20.1494,0.0722736,0.0816644,0.600826,0.569088
187,-2.05917,19.9591,0.0724487,0.0815264,0.600235,0.5677
188,-1.83997,19.7815,0.0727512,0.0813204,0.599836,0.566197
189,-1.63008,19.6178,0.0731383,0.0811064,0.599495,0.564711
190,-1.38625,19.43,0.0740217,0.0809265,0.599766,0.563354
191,-1.23689,19.2777,0.0744172,0.0807404,0.599303,0.561911
192,-1.02115,19.0901,0.0750537,0.0806307,0.599112,0.560563
193,-0.915626,18.9151,0.0750413,0.0805699,0.598018,0.559161
194,-0.69737,18.752,0.0752358,0.0804975,0.597274,0.557732
195,-0.556924,18.6206,0.0751897,0.0803155,0.596198,0.556427
196,-0.369536,18.429,0.0751875,0.0801812,0.595238,0.555016
197,-0.292589,18.2545,0.0750159,0.0800475,0.593782,0.553643
198,-0.129008,18.0598,0.0748613,0.0799749,0.592353,0.552295
199,0.064226,17.8881,0.0746758,0.0798718,0.591096,0.550916
200,0.266777,17.7111,0.074518,0.0797513,0.590171,0.549631
201,0.462816,17.5416,0.0744624,0.0795909,0.58959,0.548446
202,0.69471,17.3885,0.0748748,0.0793947,0.589903,0.54747
203,0.758421,17.2015,0.0747469,0.0792,0.589021,0.546597
204,0.919152,17.0045,0.0746403,0.0790069,0.588185,0.545382
205,0.992299,16.8321,0.0744873,0.0788249,0.586884,0.544311
206,1.15144,16.6214,0.0743182,0.0786345,0.585656,0.542999
207,1.23152,16.4061,0.0743642,0.078452,0.584264,0.541693
208,1.37608,16.1982,0.0743974,0.0782808,0.582913,0.540414
209,1.63331,15.9763,0.0742635,0.078154,0.582398,0.539156
210,1.74728,15.7729,0.0740937,0.0780301,0.581631,0.537885
211,1.72098,15.5826,0.0745969,0.0778751,0.580265,0.536625
