step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
217,0.00878683,13.5514,0.164052,0.124705,0.774004,0.579193
218,-0.149607,13.3133,0.163753,0.124438,0.772336,0.577892
219,-0.283185,13.092,0.163479,0.124178,0.770734,0.57662
220,-0.225898,12.8952,0.163232,0.123975,0.769141,0.575465
221,-0.334377,12.6772,0.163014,0.123801,0.767507,0.574362
222,-0.456718,12.4197,0.162782,0.123566,0.765817,0.573154
223,-0.56702,12.1964,0.162563,0.123346,0.764118,0.571982
224,-0.638284,12.0002,0.162486,0.123224,0.762466,0.570975
225,-0.743452,11.7805,0.16243,0.123151,0.7608,0.57002
226,-0.981979,11.494,0.162078,0.12293,0.75938,0.568825
227,-1.10468,11.2655,0.161722,0.122724,0.758036,0.567659
228,-1.29561,11.0393,0.161459,0.122542,0.757245,0.56653
229,-1.42729,10.8111,0.161272,0.122386,0.756567,0.565431
230,-1.53337,10.5157,0.161099,0.122128,0.755779,0.564209
231,-1.66168,10.2787,0.161023,0.121874,0.755093,0.562998
232,-1.7194,10.1223,0.160814,0.12181,0.75397,0.562063
233,-1.83842,9.89591,0.160672,0.1218,0.75292,0.561162
234,-1.86526,9.68763,0.160368,0.121944,0.751465,0.560409
235,-1.97216,9.4636,0.160085,0.122184,0.750052,0.559691
236,-2.02105,9.04612,0.159753,0.121926,0.748511,0.558589
237,-2.12032,8.79665,0.159427,0.121673,0.746995,0.557484
238,-2.20196,8.54467,0.159098,0.121427,0.74547,0.556384
239,-2.29891,8.29488,0.158773,0.121188,0.743966,0.555282
240,-2.32285,8.08973,0.158466,0.120938,0.742426,0.554129
241,-2.41021,7.84581,0.158163,0.120689,0.740892,0.552983
242,-2.53845,7.6023,0.157838,0.120443,0.739391,0.551845
243,-2.63118,7.35843,0.157514,0.120198,0.737906,0.550714
244,-2.75472,7.09372,0.157211,0.119954,0.736507,0.549593
245,-2.8515,6.84711,0.156921,0.119711,0.735126,0.548478
246,-2.8651,6.71105,0.156611,0.119634,0.733637,0.547625
247,-2.95095,6.47897,0.156303,0.119605,0.732156,0.546781
