step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
271,-5.32701,0.42615,0.262696,0.30469,0.695703,0.704117
272,-5.43433,0.16755,0.2624,0.304238,0.69443,0.703375
273,-5.55009,-0.1333,0.262127,0.303919,0.693301,0.702968
274,-5.64629,-0.397054,0.261826,0.303679,0.692228,0.702626
275,-5.76134,-0.482656,0.261537,0.303167,0.691049,0.701435
276,-5.86431,-0.72424,0.261229,0.302668,0.689916,0.700274
277,-5.94458,-0.929362,0.260859,0.302147,0.688675,0.699088
278,-6.05915,-1.16815,0.260486,0.301637,0.68745,0.697932
279,-6.10747,-1.47927,0.260036,0.301243,0.68636,0.697065
280,-6.2157,-1.72622,0.259582,0.30089,0.685335,0.696258
281,-6.34997,-1.95336,0.259135,0.300541,0.684119,0.695635
282,-6.47403,-2.20274,0.258691,0.300251,0.682916,0.695093
283,-6.65959,-2.33648,0.258306,0.299798,0.681715,0.694033
284,-6.78717,-2.57102,0.25792,0.299367,0.680533,0.693025
285,-6.96117,-2.75814,0.257603,0.298896,0.679342,0.69195
286,-7.09544,-2.98825,0.257287,0.298442,0.678162,0.690927
287,-7.20996,-3.21972,0.256932,0.298011,0.677062,0.689932
288,-7.34015,-3.44878,0.256564,0.297607,0.676021,0.689003
289,-7.48094,-3.75703,0.256195,0.297412,0.675104,0.688511
290,-7.60943,-3.99419,0.255806,0.297298,0.674285,0.688136
291,-7.74396,-4.16874,0.255404,0.29709,0.673383,0.687637
292,-7.87764,-4.40136,0.254989,0.296959,0.67258,0.687263
293,-8.02723,-4.61514,0.254574,0.296861,0.67182,0.68692
294,-8.16268,-4.84592,0.254149,0.296861,0.67118,0.686724
295,-8.31395,-5.01713,0.253723,0.296773,0.670917,0.686115
296,-8.445,-5.23772,0.253296,0.296765,0.670828,0.685637
297,-8.62565,-5.30079,0.252871,0.296419,0.670586,0.684651
298,-8.76201,-5.50541,0.252451,0.296104,0.67052,0.683749
299,-8.9303,-5.70244,0.252034,0.29581,0.670285,0.682991
300,-9.07218,-5.90818,0.251635,0.295565,0.670227,0.68236
301,-9.21613,-5.98346,0.251269,0.295135,0.67025,0.68141
302,-9.35959,-6.17701,0.250954,0.294725,0.670469,0.680558
303,-9.5545,-6.36224,0.25062,0.294332,0.670438,0.679855
304,-9.70438,-6.5565,0.250345,0.293976,0.670594,0.679301
305,-10.0265,-6.62913,0.249936,0.293512,0.66982,0.678594
306,-10.1968,-6.8163,0.249534,0.293067,0.669154,0.678042
307,-10.3749,-6.96125,0.249141,0.292611,0.668433,0.677596
308,-10.5495,-7.14693,0.248765,0.29218,0.667823,0.677353
309,-10.7939,-7.22499,0.248365,0.291709,0.666997,0.676904
310,-10.977,-7.40294,0.247974,0.291249,0.666264,0.676666
311,-11.1434,-7.54885,0.247611,0.290791,0.665733,0.676458
312,-11.3242,-7.72326,0.247277,0.290355,0.665326,0.676503
313,-11.5222,-7.81625,0.246958,0.289897,0.664955,0.676385
314,-11.705,-7.98384,0.246685,0.289457,0.664717,0.676543
315,-11.8944,-8.08075,0.246459,0.289003,0.664982,0.676337
316,-12.0715,-8.23811,0.246323,0.288568,0.665415,0.676405
317,-12.3331,-8.33085,0.246089,0.288121,0.664978,0.676893
318,-12.5266,-8.48959,0.245914,0.287702,0.664653,0.677752
319,-12.7285,-8.54341,0.245788,0.287254,0.664866,0.677931
320,-12.9152,-8.68848,0.245769,0.286825,0.66522,0.678457
321,-13.24,-8.73062,0.245513,0.28638,0.664823,0.678937
322,-13.4411,-8.87018,0.245311,0.285947,0.664521,0.679811
323,-13.6576,-8.85434,0.24514,0.285526,0.664779,0.679761
324,-13.8512,-8.97601,0.245066,0.285091,0.665152,0.680047
325,-14.1563,-9.02802,0.244827,0.28467,0.664635,0.680739
326,-14.367,-9.14991,0.244638,0.284235,0.664185,0.681871
327,-14.5581,-9.27494,0.244559,0.283812,0.664138,0.683237
328,-14.7625,-9.39412,0.244577,0.283435,0.664167,0.685125
329,-15.0426,-9.50333,0.244478,0.283126,0.66411,0.687334
330,-15.2495,-9.6202,0.24447,0.282942,0.664115,0.690146
331,-15.5178,-9.62645,0.244386,0.282673,0.664458,0.692093
332,-15.7204,-9.72992,0.244414,0.282538,0.664853,0.694631
333,-16.0627,-9.61362,0.244193,0.28215,0.664851,0.69594
334,-16.272,-9.69928,0.244043,0.281826,0.66488,0.69779
335,-16.4284,-9.73187,0.244139,0.281516,0.665307,0.699704
336,-16.6321,-9.81244,0.244377,0.281321,0.66575,0.70222
337,-16.815,-10.0612,0.244868,0.28193,0.666099,0.707171
338,-17.0201,-10.1555,0.245539,0.282977,0.666444,0.712928
339,-17.3712,-10.0389,0.245741,0.283442,0.666572,0.716877
340,-17.5794,-10.1146,0.24608,0.284281,0.666679,0.721579
341,-17.8857,-9.97623,0.246183,0.284552,0.666774,0.72467
342,-18.0936,-10.0335,0.246407,0.28513,0.666831,0.728459
343,-18.3269,-10.0058,0.246662,0.285684,0.6666,0.732404
344,-18.5392,-10.0585,0.247029,0.286631,0.666325,0.737098
345,-18.7989,-9.91999,0.247315,0.287087,0.665833,0.740885
346,-19.0151,-9.95998,0.247689,0.287914,0.665295,0.745405
347,-19.3144,-9.75645,0.24783,0.288083,0.66492,0.748069
348,-19.5253,-9.77514,0.248058,0.288524,0.66448,0.751383
349,-19.9083,-9.38087,0.247869,0.288143,0.663779,0.752368
350,-20.1249,-9.36979,0.247713,0.287823,0.663029,0.753849
351,-20.3375,-9.4165,0.247599,0.287733,0.662276,0.756201
352,-20.5522,-9.40875,0.247518,0.287845,0.661475,0.759161
353,-20.8802,-9.19864,0.247245,0.287632,0.660658,0.761044
354,-21.0936,-9.17459,0.246987,0.28757,0.659799,0.763486
355,-21.3677,-9.03173,0.246671,0.287398,0.658995,0.765424
356,-21.5756,-8.99688,0.246365,0.28739,0.658143,0.767912
357,-21.813,-8.68154,0.246043,0.287017,0.657574,0.768799
358,-22.0069,-8.6231,0.245737,0.286701,0.656908,0.77013
359,-22.2413,-8.41028,0.245414,0.28631,0.656064,0.771156
360,-22.44,-8.34258,0.245096,0.285956,0.655181,0.772624
361,-22.5639,-8.35408,0.244872,0.28583,0.654416,0.774853
362,-22.7517,-8.28943,0.244666,0.285888,0.653584,0.777599
363,-22.925,-8.228,0.244502,0.28621,0.653081,0.780439
364,-23.0964,-8.15923,0.24438,0.286841,0.652448,0.783809
365,-23.3405,-7.88267,0.244151,0.28699,0.651587,0.786401
366,-23.5192,-7.80179,0.243931,0.287405,0.650702,0.789485
367,-23.7582,-7.49711,0.243636,0.287354,0.649817,0.7915
368,-23.9342,-7.40088,0.24334,0.287502,0.648953,0.793948
369,-24.1441,-7.05442,0.243019,0.287236,0.648076,0.795193
370,-24.3101,-6.9402,0.242699,0.28708,0.647215,0.796798
371,-24.4526,-6.8943,0.242389,0.287285,0.646382,0.798924
372,-24.603,-6.78172,0.242082,0.287748,0.645517,0.801435
373,-24.728,-6.55808,0.241796,0.288071,0.64469,0.803506
374,-24.8683,-6.43696,0.241515,0.28867,0.643832,0.805931
375,-25.0131,-6.0805,0.24123,0.288702,0.64298,0.80731
376,-25.147,-5.94389,0.240946,0.288924,0.642134,0.808983
377,-25.3111,-5.7302,0.240638,0.289111,0.641337,0.810531
378,-25.4443,-5.5887,0.240326,0.289524,0.640644,0.812353
379,-25.4899,-5.68494,0.24007,0.291515,0.639972,0.815841
380,-25.6181,-5.55749,0.239796,0.294067,0.639469,0.819633
381,-25.7545,-5.23411,0.239499,0.295866,0.638917,0.822355
382,-25.8752,-5.09385,0.239193,0.298155,0.638579,0.825328
383,-26.0272,-4.86005,0.238885,0.300332,0.637812,0.827763
384,-26.1262,-4.71193,0.238582,0.303005,0.637167,0.830409
385,-26.2151,-4.44473,0.238283,0.305357,0.636343,0.832443
386,-26.2944,-4.28791,0.237988,0.308182,0.635569,0.834647
387,-26.3439,-3.93651,0.237686,0.310151,0.634753,0.835957
388,-26.4073,-3.7672,0.237386,0.312504,0.633952,0.837396
389,-26.4491,-3.58347,0.237083,0.315172,0.633142,0.838857
390,-26.5039,-3.41297,0.236782,0.318275,0.632388,0.840421
391,-26.5824,-2.94771,0.236498,0.319846,0.631675,0.840847
392,-26.6332,-2.75984,0.236224,0.321692,0.631108,0.841337
393,-26.6529,-2.34633,0.235944,0.322604,0.630529,0.841162
394,-26.6968,-2.14523,0.23568,0.323691,0.630156,0.841024
395,-26.6588,-2.04966,0.235386,0.325546,0.629414,0.841255
396,-26.6814,-1.85513,0.235096,0.327663,0.62879,0.841509
397,-26.7271,-1.66795,0.234833,0.330101,0.628139,0.841823
398,-26.742,-1.47425,0.234585,0.33283,0.627659,0.842141
399,-26.7442,-1.0446,0.234349,0.334376,0.626923,0.841817
400,-26.741,-0.837991,0.234126,0.336099,0.626301,0.841486
401,-26.7268,-0.50548,0.233913,0.337325,0.625555,0.840912
402,-26.7096,-0.292687,0.233713,0.338679,0.624906,0.840322
403,-26.6959,0.00537056,0.233542,0.339741,0.624303,0.839582
404,-26.6744,0.22262,0.233402,0.340898,0.623876,0.838823
405,-26.5963,0.876488,0.23321,0.340693,0.623475,0.837801
406,-26.5694,1.11895,0.233057,0.340479,0.623311,0.83679
407,-26.5251,0.940217,0.232928,0.341597,0.623158,0.835965
408,-26.4925,1.1573,0.232861,0.342789,0.623293,0.835113
409,-26.4096,1.43992,0.232766,0.343745,0.622953,0.834203
410,-26.3603,1.65891,0.232726,0.34475,0.622851,0.833271
411,-26.2751,1.95096,0.232678,0.345484,0.622739,0.832284
412,-26.2198,2.17355,0.232704,0.346235,0.622905,0.831288
413,-26.1227,2.46801,0.232719,0.346722,0.622389,0.830286
414,-26.0449,2.69071,0.232785,0.34721,0.622048,0.829285
415,-25.9579,3.05419,0.232897,0.347264,0.621554,0.828326
416,-25.8698,3.28287,0.233069,0.347294,0.621235,0.827396
417,-25.7413,3.39855,0.233197,0.347609,0.620722,0.826415
418,-25.6418,3.61832,0.233384,0.347906,0.62037,0.825454
419,-25.5046,3.80042,0.233532,0.348295,0.61988,0.824488
420,-25.3955,4.01609,0.233741,0.34866,0.619548,0.823546
421,-25.1761,4.25712,0.233719,0.348914,0.619096,0.822651
422,-25.0584,4.47365,0.233748,0.349126,0.618803,0.821806
